utc_time	profile	phase	t_ready_ms	t_content_ms	t_settled_ms	stalls_over_4ms	max_stall_ms	probe_ticks	objects_at_ready	objects_settled	layout_attached	objects_built	chain_tags	information_tiles
2026-08-20T08:08:05Z	whale-8a-2000g-500c	warm	22.70	22.93	124.65	2	5.74	88	914	917	108	809	4	2
2026-08-20T08:08:06Z	whale-8a-2000g-500c	cold	35.27	38.75	89.25	7	11.13	37	917	917	108	809	4	2
2026-08-20T08:08:06Z	whale-8a-2000g-500c	warm	25.15	25.37	127.06	3	6.82	90	912	916	107	809	4	2
2026-08-20T08:08:07Z	whale-8a-2000g-500c	cold	35.06	38.01	88.51	7	8.66	40	916	916	107	809	4	2
2026-08-20T08:08:07Z	whale-8a-2000g-500c	warm	22.19	22.47	124.53	2	7.02	86	913	916	107	809	4	2
2026-08-20T08:08:09Z	whale-8a-2000g-500c	cold	39.57	42.17	92.36	7	11.64	39	916	916	107	809	4	2
2026-08-20T08:08:09Z	whale-8a-2000g-500c	warm	28.89	29.10	129.67	1	9.65	89	908	916	107	809	4	2
2026-08-20T08:08:10Z	whale-8a-2000g-500c	cold	35.85	38.90	89.27	5	8.97	40	916	916	107	809	4	2
2026-08-20T08:08:10Z	whale-8a-2000g-500c	warm	27.70	29.58	80.83	1	4.73	55	916	916	107	809	4	2
2026-08-20T08:08:12Z	whale-8a-2000g-500c	cold	34.94	37.96	88.40	5	10.46	39	916	916	107	809	4	2
2026-08-20T08:08:12Z	whale-8a-2000g-500c	warm	28.78	31.10	82.14	2	5.16	56	916	916	107	809	4	2
2026-08-20T08:08:13Z	whale-8a-2000g-500c	cold	35.86	39.62	90.85	6	8.16	41	916	916	107	809	4	2
2026-08-20T08:08:13Z	whale-8a-2000g-500c	warm	33.00	33.33	134.96	3	7.51	91	913	916	107	809	4	2
2026-08-20T08:08:15Z	whale-8a-2000g-500c	cold	37.22	40.29	91.73	2	9.59	42	916	916	107	809	4	2
2026-08-20T08:08:15Z	whale-8a-2000g-500c	warm	30.43	30.69	132.60	3	6.51	96	914	917	108	809	4	2
2026-08-20T08:08:16Z	whale-8a-2000g-500c	cold	32.93	36.08	86.51	3	9.77	39	916	916	107	809	4	2
2026-08-20T08:08:16Z	whale-8a-2000g-500c	warm	22.50	22.73	124.45	2	5.29	89	913	916	107	809	4	2
2026-08-20T08:08:18Z	whale-8a-2000g-500c	cold	33.10	34.23	136.18	7	10.39	73	914	916	107	809	4	2
2026-08-20T08:08:18Z	whale-8a-2000g-500c	warm	28.00	28.27	130.65	2	6.94	92	915	917	108	809	4	2
2026-08-20T08:08:19Z	whale-8a-2000g-500c	cold	39.51	42.99	94.06	7	9.98	45	917	917	108	809	4	2
2026-08-20T08:08:19Z	whale-8a-2000g-500c	warm	33.74	34.05	136.54	4	7.58	91	913	916	107	809	4	2
2026-08-20T08:08:21Z	whale-8a-2000g-500c	cold	35.33	36.29	138.33	5	12.61	80	914	916	107	809	4	2
2026-08-20T08:08:21Z	whale-8a-2000g-500c	warm	27.59	29.58	80.32	2	5.46	53	916	916	107	809	4	2
2026-08-20T08:08:22Z	whale-8a-2000g-500c	cold	33.44	36.64	88.02	9	11.15	37	917	917	108	809	4	2
2026-08-20T08:08:22Z	whale-8a-2000g-500c	warm	28.86	30.81	81.62	2	5.05	55	916	916	107	809	4	2
2026-08-20T08:08:24Z	whale-8a-2000g-500c	cold	36.82	40.30	91.21	8	7.73	43	917	917	108	809	4	2
2026-08-20T08:08:24Z	whale-8a-2000g-500c	warm	20.15	21.70	123.83	1	5.47	90	915	916	107	809	4	2
2026-08-20T08:08:25Z	whale-8a-2000g-500c	cold	34.35	37.91	89.01	7	8.81	39	916	916	107	809	4	2
2026-08-20T08:08:25Z	whale-8a-2000g-500c	warm	26.79	28.67	79.50	1	5.01	55	916	916	107	809	4	2
2026-08-20T08:08:27Z	whale-8a-2000g-500c	cold	35.51	36.77	138.18	6	10.20	78	914	916	107	809	4	2
2026-08-20T08:08:27Z	whale-8a-2000g-500c	warm	33.14	33.47	136.37	2	8.17	91	915	916	107	809	4	2
2026-08-20T08:11:29Z	whale-8a-2000g-500c	cold	41.61	44.71	95.12	8	11.90	42	916	916	107	809	4	2
2026-08-20T08:11:29Z	whale-8a-2000g-500c	warm	23.31	23.61	125.13	2	5.77	90	913	916	107	809	4	2
2026-08-20T08:11:32Z	whale-8a-2000g-500c	cold	34.51	37.84	88.66	6	8.62	39	917	917	108	809	4	2
2026-08-20T08:11:32Z	whale-8a-2000g-500c	warm	35.89	36.26	138.49	4	7.25	91	913	916	107	809	4	2
2026-08-20T08:11:35Z	whale-8a-2000g-500c	cold	40.27	43.80	94.77	5	10.01	40	916	916	107	809	4	2
2026-08-20T08:11:35Z	whale-8a-2000g-500c	warm	27.55	29.44	79.90	2	5.72	54	916	916	107	809	4	2
2026-08-20T08:11:38Z	whale-8a-2000g-500c	cold	31.87	32.22	134.06	8	11.05	69	915	916	107	809	4	2
2026-08-20T08:11:38Z	whale-8a-2000g-500c	warm	24.16	26.27	77.20	0	3.86	53	916	916	107	809	4	2
