utc_time	profile	phase	t_skeleton_ms	t_ready_ms	t_content_ms	t_first_asset_row_ms	stalls_over_4ms	stalls_over_8ms	max_stall_ms	probe_ticks	objects_total	account_delegates	asset_delegates	loading_asset_delegates	objects_settled	asset_delegates_settled	account_delegates_settled
2026-08-19T19:56:59Z	whale-8a-2000g-500c	cold	193.54	505.77	506.14	526.01	15	3	357.36	187	2813	8	0	0	6022	26	-
2026-08-19T19:56:59Z	whale-8a-2000g-500c	warm	6.90	96.63	97.04	113.46	12	3	11.27	163	2813	8	0	0	6022	26	-
2026-08-19T20:19:55Z	whale-8a-2000g-500c	cold	175.65	462.30	462.64	480.72	12	3	333.53	151	2813	8	0	0	6022	26	-
2026-08-19T20:19:55Z	whale-8a-2000g-500c	warm	14.02	120.09	120.54	137.88	13	3	14.27	149	2813	8	0	0	6022	26	-
2026-08-19T21:21:07Z	whale-8a-2000g-500c	cold	184.11	441.24	441.60	462.05	6	3	346.11	107	2813	8	0	0	6022	26	-
2026-08-19T21:21:07Z	whale-8a-2000g-500c	warm	4.23	47.18	47.60	68.02	8	2	12.02	83	2813	8	0	0	6022	26	-
2026-08-19T21:21:08Z	whale-8a-2000g-500c	cold	184.33	436.20	436.52	456.22	4	3	345.40	106	2813	8	0	0	6022	26	-
2026-08-19T21:21:08Z	whale-8a-2000g-500c	warm	10.86	51.72	52.12	71.41	9	2	11.03	83	2813	8	0	0	6022	26	-
2026-08-19T21:21:10Z	whale-8a-2000g-500c	cold	183.01	448.16	448.48	468.23	4	3	345.24	117	2813	8	0	0	6022	26	-
2026-08-19T21:21:10Z	whale-8a-2000g-500c	warm	4.00	43.23	43.60	65.60	7	1	11.59	85	2813	8	0	0	6022	26	-
2026-08-19T21:21:11Z	whale-8a-2000g-500c	cold	184.32	446.08	446.40	466.46	4	3	348.01	112	2813	8	0	0	6022	26	-
2026-08-19T21:21:11Z	whale-8a-2000g-500c	warm	10.16	51.44	51.83	71.74	7	3	12.07	84	2813	8	0	0	6022	26	-
2026-08-19T21:21:13Z	whale-8a-2000g-500c	cold	182.56	444.85	445.19	468.01	6	3	345.70	114	2813	8	0	0	6022	26	-
2026-08-19T21:21:13Z	whale-8a-2000g-500c	warm	3.74	40.06	40.39	54.96	8	2	10.29	82	2813	8	0	0	6022	26	-
2026-08-19T21:21:14Z	whale-8a-2000g-500c	cold	182.93	435.53	435.88	461.51	7	3	343.27	109	2813	8	0	0	6022	26	-
2026-08-19T21:21:14Z	whale-8a-2000g-500c	warm	6.59	48.92	49.34	69.62	8	2	11.67	83	2813	8	0	0	6022	26	-
2026-08-19T21:21:16Z	whale-8a-2000g-500c	cold	180.31	422.73	423.07	446.97	6	3	343.25	97	2813	8	0	0	6022	26	-
2026-08-19T21:21:16Z	whale-8a-2000g-500c	warm	3.94	46.47	46.87	66.83	6	2	11.37	85	2813	8	0	0	6022	26	-
2026-08-19T21:21:17Z	whale-8a-2000g-500c	cold	181.33	446.92	447.41	470.49	7	3	342.14	115	2813	8	0	0	6022	26	-
2026-08-19T21:21:17Z	whale-8a-2000g-500c	warm	3.87	39.00	39.42	56.66	6	1	12.08	81	2942	8	0	0	6022	26	-
2026-08-19T21:21:18Z	whale-8a-2000g-500c	cold	182.90	445.19	445.57	465.86	3	3	343.51	118	2813	8	0	0	6022	26	-
2026-08-19T21:21:18Z	whale-8a-2000g-500c	warm	4.06	49.11	49.54	69.30	6	2	13.11	83	2813	8	0	0	6022	26	-
2026-08-19T21:21:20Z	whale-8a-2000g-500c	cold	182.27	419.79	420.13	440.57	5	3	345.16	90	2813	8	0	0	6022	26	-
2026-08-19T21:21:20Z	whale-8a-2000g-500c	warm	4.32	46.67	47.06	67.66	7	2	15.67	84	2813	8	0	0	6022	26	-
2026-08-19T21:21:21Z	whale-8a-2000g-500c	cold	181.57	421.43	421.77	446.00	8	3	346.28	90	2813	8	0	0	6022	26	-
2026-08-19T21:21:21Z	whale-8a-2000g-500c	warm	4.35	44.25	44.64	64.56	5	1	14.98	83	2813	8	0	0	6022	26	-
2026-08-19T21:21:23Z	whale-8a-2000g-500c	cold	183.89	430.51	430.89	452.99	4	3	345.77	94	2942	8	0	0	6022	26	-
2026-08-19T21:21:23Z	whale-8a-2000g-500c	warm	13.16	55.05	55.42	74.44	4	3	13.32	84	2813	8	0	0	6022	26	-
2026-08-19T21:21:24Z	whale-8a-2000g-500c	cold	181.24	455.97	456.32	476.33	5	3	348.54	123	2813	8	0	0	6022	26	-
2026-08-19T21:21:24Z	whale-8a-2000g-500c	warm	5.20	50.65	51.12	72.55	8	2	13.27	81	2813	8	0	0	6022	26	-
2026-08-19T21:21:26Z	whale-8a-2000g-500c	cold	183.91	422.01	422.33	442.56	6	3	346.82	89	2813	8	0	0	6022	26	-
2026-08-19T21:21:26Z	whale-8a-2000g-500c	warm	9.77	53.64	54.04	74.70	7	3	16.69	80	2813	8	0	0	6022	26	-
2026-08-19T21:21:27Z	whale-8a-2000g-500c	cold	183.76	428.83	429.19	450.87	6	3	347.05	92	2813	8	0	0	6022	26	-
2026-08-19T21:21:27Z	whale-8a-2000g-500c	warm	7.15	54.90	55.31	74.73	8	2	11.95	87	2813	8	0	0	6022	26	-
2026-08-19T21:21:29Z	whale-8a-2000g-500c	cold	181.98	430.15	430.47	450.96	5	3	346.28	96	2813	8	0	0	6022	26	-
2026-08-19T21:21:29Z	whale-8a-2000g-500c	warm	9.32	54.55	55.07	78.77	8	2	14.60	86	2813	8	0	0	6022	26	-
2026-08-20T04:10:50Z	whale-8a-2000g-500c	cold	341.52	639.99	640.32	659.53	6	3	507.55	147	2813	8	0	0	6022	26	-
2026-08-20T04:10:50Z	whale-8a-2000g-500c	warm	4.86	43.86	44.25	61.92	5	1	14.28	96	2813	8	0	0	6022	26	-
